kmeans_k3,minibatch_kmeans_k3,gaussian_mixture_k3,bisecting_kmeans_k3,kmeans_k4,minibatch_kmeans_k4,gaussian_mixture_k4,bisecting_kmeans_k4,kmeans_k5,minibatch_kmeans_k5,gaussian_mixture_k5,bisecting_kmeans_k5,kmeans_k6,minibatch_kmeans_k6,gaussian_mixture_k6,bisecting_kmeans_k6
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,3
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,3,0,3,3,3,0,1,4
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,4,2
0,2,2,0,0,2,1,1,0,4,2,1,0,4,5,1
1,0,1,1,1,3,0,2,1,3,4,2,1,3,1,3
1,0,0,1,1,3,1,2,1,3,2,2,1,3,4,2
0,2,0,0,2,2,1,1,4,2,4,1,4,2,2,1
1,0,2,1,1,3,0,2,1,3,4,2,1,5,5,2
1,0,2,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,3,1,2,1,3,2,2,1,3,1,3
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,1,2,1,3,4,2,1,3,5,3
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,2,1,1,0,0,2,3,0,3,3,3,0,2,4
1,0,0,1,1,3,1,2,1,3,4,2,1,3,4,3
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
2,1,2,0,3,1,0,0,3,1,3,0,3,1,3,0
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
0,2,0,0,2,2,1,1,4,2,2,1,4,2,1,1
1,0,2,1,1,0,0,2,1,3,3,2,1,5,4,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,0,3,2,1,0,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,0,1,2,1,3,2,2,1,5,1,2
1,0,0,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,1,1,1,3,0,2,1,3,4,2,1,5,1,2
1,0,0,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,4,2
1,0,0,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,2,1,1,3,0,2,1,3,3,2,1,3,1,2
1,0,0,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,4,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,4,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,3
1,0,0,1,1,3,3,2,1,3,0,2,1,3,4,3
2,1,2,0,3,1,0,0,3,1,3,0,3,0,1,0
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,2,0,3,3,3,0,4,0,4,0,4,5,5
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,1,2,1,3,4,2,1,5,4,2
1,0,1,1,1,0,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,2,2
1,0,2,2,1,3,3,3,1,3,0,4,1,3,4,5
1,0,2,1,1,0,0,2,1,0,3,3,1,0,3,4
2,1,2,1,3,0,0,2,3,0,3,3,3,0,3,4
1,0,1,1,1,3,1,2,1,3,4,2,1,5,2,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,1,2,1,3,4,2,1,5,4,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,0,2,1,3,4,2,1,5,1,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,2
0,2,2,0,2,2,1,1,4,2,2,1,4,2,1,1
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,3,2,1,3,0,2,1,5,4,2
1,0,0,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,1,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,4,2,5,3,5,3
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,2,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,3,1,2,1,3,4,2,5,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,3,1,2,1,3,1,2,1,5,2,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,1,1,1,3,2,2,1,3,1,2,1,5,4,2
1,0,1,1,1,0,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,2,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,0,2,1,3,4,2,1,3,1,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,2
1,0,0,1,1,3,3,2,1,3,4,2,5,3,2,3
1,0,1,1,1,3,2,2,1,3,0,2,1,5,4,2
2,1,2,1,3,1,0,2,3,1,3,3,3,1,1,4
1,0,1,1,1,3,2,2,1,3,1,2,1,5,2,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,1,2,1,3,2,2,1,3,5,3
1,0,1,1,1,3,2,2,1,3,4,2,1,5,4,2
1,0,0,1,1,3,1,2,1,3,2,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,1,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,1,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,1,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,2
0,2,0,0,2,2,1,1,4,2,4,1,4,2,2,1
1,0,1,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,4,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,2,1,1,3,0,2,1,0,3,2,5,3,3,3
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,2,1,1,0,0,2,1,0,3,3,1,0,3,4
1,0,1,1,1,3,2,2,1,3,1,2,1,5,4,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,0,1,2,3,0,2,3,3,0,5,4
1,0,1,1,1,3,1,2,1,3,4,2,1,3,4,3
1,0,0,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,2,1,1,0,0,2,1,3,3,2,5,3,3,3
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
2,1,2,1,3,0,0,2,3,0,3,3,3,0,3,4
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,3,2,1,3,0,2,5,3,5,3
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,0,0,2,1,0,3,2,1,0,3,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,0,1,1,3,1,2,1,3,2,2,1,5,1,2
1,0,0,1,1,3,1,2,1,3,2,2,1,3,1,3
1,0,0,1,1,3,1,2,1,3,2,2,5,3,1,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,1,2
1,0,2,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,2,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,2,1,1,0,0,2,1,0,3,3,1,0,1,4
1,0,0,2,0,3,3,3,0,4,0,4,0,4,5,5
1,0,2,2,0,3,3,3,0,4,0,4,0,4,5,5
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
0,2,2,0,2,2,1,1,4,2,4,1,5,2,1,1
1,0,1,1,1,0,1,2,1,3,4,2,1,5,2,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,3
1,0,2,1,1,0,0,2,1,0,3,2,1,0,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,3,2,1,3,4,2,5,3,5,3
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,4,2,5,3,1,3
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,0,2,2,1,3,4,2,1,5,2,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,0,1,1,3,1,2,1,3,2,2,1,3,1,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
0,2,2,0,2,2,1,1,4,2,4,1,4,2,5,1
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,1,2,1,3,4,2,1,5,4,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,2,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,1,3
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,0,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,2,2,0,3,3,3,0,3,0,4,0,3,4,5
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,0,3,2,1,3,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
0,2,2,0,2,2,0,1,4,2,2,1,4,2,1,1
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,2,0,3,3,3,0,4,0,4,0,4,5,5
1,0,0,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,2,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
0,2,2,0,2,2,1,1,4,2,2,1,4,2,1,1
1,0,2,1,1,3,0,2,1,3,3,2,5,3,3,3
1,0,0,2,0,3,3,3,0,4,0,4,0,4,5,5
1,0,2,1,1,0,0,2,1,0,3,2,1,3,3,3
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
2,1,2,1,3,0,0,2,3,0,3,3,3,0,3,4
1,0,1,1,1,3,3,2,1,3,0,2,1,3,5,3
0,2,2,0,2,2,1,1,4,2,2,1,4,2,5,1
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,2
1,0,2,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,3
1,0,2,1,1,0,0,2,1,0,3,2,1,0,3,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,0,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,0,1,1,3,1,2,1,3,2,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,3
1,0,2,2,0,3,1,3,0,3,2,4,0,3,4,5
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,0,1,1,3,1,2,1,3,2,2,1,3,4,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,2,1,3,3,3,1,3,0,4,1,3,4,5
1,0,2,1,1,0,0,2,1,0,3,3,5,0,3,4
1,0,2,1,1,0,0,2,1,0,3,3,1,0,1,4
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,2,2,1,3,1,2,1,5,2,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,0,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,1,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,2,1,1,3,1,2,1,3,4,2,1,3,5,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,3,0,3,3,3,0,1,4
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,3,3,2,1,3,0,2,1,3,4,3
0,2,2,0,2,2,0,1,4,2,2,1,4,2,1,1
1,0,1,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,1,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,4,2
1,0,0,1,1,3,1,2,1,3,2,2,1,3,5,3
1,0,2,2,0,3,1,3,0,4,2,4,0,4,1,5
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,3,0,2,1,3,4,2,1,3,1,2
1,0,1,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,2,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,2
1,0,2,1,1,3,0,2,1,3,4,2,5,3,1,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,1,2
1,0,0,1,1,3,1,2,1,3,2,2,1,3,1,3
1,0,2,1,1,0,0,2,1,0,3,2,1,0,3,2
0,2,2,0,2,2,0,1,4,3,2,1,5,3,1,1
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,2
1,0,1,1,1,0,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,3,3,2,1,3,1,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,3,1,2,1,3,2,2,1,3,1,3
1,0,2,2,0,3,1,3,0,4,2,4,0,4,5,5
1,0,0,2,0,3,3,3,0,4,0,4,0,4,5,5
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,1,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,0,1,1,3,1,2,1,3,4,2,5,3,4,3
1,0,2,1,1,3,1,2,1,3,2,2,1,3,4,3
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,1,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,0,3,3,1,0,3,4
1,0,2,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,1,1,1,3,0,2,1,3,4,2,1,5,1,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,3,0,2,1,3,4,2,5,3,1,3
1,0,0,1,1,3,0,2,1,3,4,2,1,3,1,3
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,0,0,2,1,0,3,2,1,0,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,3,2,1,3,0,2,1,5,4,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,0,0,2,1,0,3,2,5,3,3,3
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,0,1,1,0,1,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,0,1,2,1,0,2,2,1,3,1,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,0,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,5,3,3,3
1,0,0,1,1,3,1,2,1,3,4,2,5,3,4,3
0,2,2,0,2,2,0,1,4,2,4,1,5,2,1,1
1,0,0,1,1,3,1,2,1,3,2,2,1,3,4,2
1,0,2,1,1,3,0,2,1,3,4,2,1,5,5,2
1,0,2,1,1,3,0,2,1,3,4,2,5,3,1,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,3,0,2,1,3,4,2,5,3,1,3
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,0,2,0,3,3,3,0,3,0,4,0,3,4,5
1,0,0,2,1,3,3,3,1,3,0,4,1,3,4,5
1,0,0,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,4,2,5,3,1,3
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,3,2,1,3,0,2,5,3,5,3
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,0,2,1,5,4,2
0,2,2,0,2,2,1,1,4,2,4,1,4,2,1,1
1,0,2,1,1,0,3,2,1,3,0,2,1,3,4,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,0,1,2,1,3,4,2,1,5,4,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
2,1,2,1,3,0,0,2,3,0,3,3,3,0,3,4
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,4,2,1,3,5,3
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,0,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,3,3,3
1,0,2,1,1,0,0,2,3,0,3,3,3,0,3,4
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,0,1,2,1,0,2,3,1,0,1,4
1,0,2,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,3,2,1,0,0,2,1,0,5,2
1,0,1,1,1,3,2,2,1,3,0,2,1,5,4,2
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,3,0,2,1,3,4,2,5,3,1,3
1,0,1,1,1,0,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,0,0,2,1,0,3,2,1,5,3,2
1,0,0,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,2,0,3,3,3,0,4,0,4,0,4,4,5
1,0,0,1,1,0,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,0,2,1,3,3,2,1,3,3,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,4,2,1,5,2,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,3
1,0,0,2,0,3,1,3,0,4,2,4,0,4,1,5
1,0,1,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,5,3,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,0,1,1,0,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,2
1,0,1,1,1,3,2,2,1,3,1,2,1,5,0,2
1,0,1,1,1,3,3,2,1,3,0,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,3,2,1,5,1,2
1,0,2,1,1,0,0,2,1,3,3,2,1,5,3,2
1,0,0,1,1,3,1,2,1,3,1,2,1,5,2,2
1,0,2,1,1,3,0,2,1,3,3,2,1,3,4,3
1,0,2,1,1,3,0,2,1,3,2,2,1,5,5,2
1,0,1,1,1,3,0,2,1,3,3,2,1,5,3,2
